id,name,display_name
BDS,Bounds Green,Bounds Green
CRO1,Croxley,Croxley
ALP,Alperton,Alperton
HOH,Harrow-on-the-Hill,Harrow-\non-the-Hill
ACT,Acton Town,Acton\nTown
BHO,Blackhorse Road,Blackhorse\nRoad
CHL,Chancery Lane,Chancery Lane
ASG,Arnos Grove,Arnos Grove
HHY,Highbury & Islington,Highbury & Islington
ACY,Archway,Archway
BTX,Brent Cross,Brent Cross
ASL,Arsenal,Arsenal
VAU,Vauxhall,Vauxhall
PIM,Pimlico,Pimlico
BOS1,Boston Manor,Boston Manor
PRR,Preston Road,Preston\nRoad
CHC,Charing Cross,Charing\nCross
BLM,Balham,Balham
NEP,Newbury Park,Newbury Park
HRC,"Heathrow Terminals 1, 2 & 3","Heathrow Terminals 1, 2 & 3"
BAY,Bayswater,Bayswater
OXC,Oxford Circus,Oxford\nCircus
BMY,Bermondsey,Bermondsey
BZP,Belsize Park,Belsize Park
NOR,Northolt,Northolt
WHC,White City,White\nCity
MIE,Mile End,\nMile End
SES,Seven Sisters,Seven\nSisters
CKS,Cockfosters,Cockfosters
BEC1,Becontree,Becontree
SOW,South Woodford,South Woodford
ALD,Aldgate,Aldgate
CGN,Covent Garden,Covent Garden
LAG,Lancaster Gate,Lancaster\nGate
BRI,Brixton,Brixton
SJW,St. John's Wood,St. John's Wood
RUG,Ruislip Gardens,Ruislip Gardens
SWK,Southwark,Southwark
QPW,Queen's Park,Queens Park
KNL,Kensal Green,Kensal Green
HAL,Hanger Lane,Hanger Lane
MAH,Mansion House,Mansion House
WAC,Walthamstow Central,Walthamstow\nCentral
EUS,Euston,Euston
HNX,Hatton Cross,Hatton Cross
BKG,Barking,Barking
WIG,Willesden Green,Willesden Green
CHP,Chiswick Park,Chiswick\nPark
BBB,Bromley-By-Bow,Bromley\n-By-Bow
PIC,Piccadilly Circus,Piccadilly\nCircus
EAC,Earl's Court,Earl's Court
LAN,Lambeth North,Lambeth\nNorth
WHD,West Hampstead,West Hampstead
STP,St. Paul's,St. Paul's
BLA,Blackfriars,Blackfriars
HWY,Holloway Road,Holloway Road
HWE,Hounslow East,Hounslow East
BEG,Bethnal Green,Bethnal\nGreen
DAE,Dagenham East,Dagenham East
HWW,Hounslow West,Hounslow West
STM,Stanmore,Stanmore
CTN,Camden Town,Camden Town
EAP,East Putney,East Putney
CPC,Clapham Common,Clapham Common
GUN,Gunnersbury,Gunnersbury
BUH,Buckhurst Hill,Buckhurst Hill
OAK,Oakwood,Oakwood
MRH,Manor House,Manor House
WIJ,Willesden Junction,Willesden Junction
ZWL,Whitechapel,Whitechapel
EAS,Eastcote,Eastcote
NOE,North Ealing,North Ealing
MOO,Moorgate,Moorgate
RUI,Ruislip,Ruislip
NHA,North Harrow,North Harrow
ECO,Ealing Common,Ealing Common
HPC,Hyde Park Corner,Hyde Park\nCorner
SOK1,South Kenton,South Kenton
SOK,South Kensington,South\nKensington
HDN,Harlesden,Harlesden
HAI,Hainault,Hainault
LIS,Liverpool Street,Liverpool\nStreet
FUB,Fulham Broadway,Fulham Broadway
CFM,Chalk Farm,Chalk Farm
HIL,Hillingdon,Hillingdon
NFD,Northfields,Northfields
KNB,Knightsbridge,Knightsbridge
PKR,Park Royal,Park Royal
WEH,West Ham,West Ham
RSQ,Russell Square,Russell\nSquare
RAL,Rayners Lane,Rayners Lane
SGT,Southgate,Southgate
HOR,Hornchurch,Hornchurch
TCR,Tottenham Court Road,Tottenham\nCourt Road
NOP,Northwick Park,Northwick\nPark
SUT,Sudbury Town,Sudbury Town
EDR,Edgware Road (Bakerloo),Edgware\nRoad
QBY,Queensbury,Queensbury
BAB,Barbican,Barbican
WAN,Wanstead,Wanstead
CPK,Canons Park,Canons Park
HRV,Heathrow Terminal 5,Heathrow Terminal 5
CPN,Clapham North,Clapham North
WES1,Westminster,Westminster
KSH,Kentish Town,Kentish\nTown
KNT,Kenton,Kenton
OSY,Osterley,Osterley
SOE,South Ealing,South Ealing
WOO,Woodford,Woodford
EDR1,Edgware Road (Circle),Edgware Road
GDG,Goodge Street,Goodge\nStreet
LAD,Ladbroke Grove,Ladbroke Grove
GPS,Great Portland Street,Great Portland\nStreet
CSD,Colliers Wood,Colliers Wood
HTD,Hampstead,Hampstead
VIC,Victoria,Victoria
PAG,Parsons Green,Parsons Green
KPA,Kensington (Olympia),Kensington\n(Olympia)
TOT,Totteridge & Whetstone,Totteridge & Whetstone
CAW,Canary Wharf,Canary Wharf
CHO,Chorleywood,Chorleywood
TPN,Turnpike Lane,Turnpike Lane
REP,Regent's Park,Regent's\nPark
REB,Redbridge,Redbridge
WER,West Ruislip,West Ruislip
PLA,Plaistow,Plaistow
LOU,Loughton,Loughton
HOL,Holborn,Holborn
UXB,Uxbridge,Uxbridge
SLS,Sloane Square,Sloane Square
DAH,Dagenham Heathway,Dagenham Heathway
SHH,South Harrow,South Harrow
HWC,Hounslow Central,Hounslow Central
KBN,Kilburn,Kilburn
WBP,West Brompton,West Brompton
NOH,Northwood Hills,Northwood Hills
PIN,Pinner,Pinner
MAV,Maida Vale,Maida Vale
WMB,Wembley Central,Wembley Central
PUB,Putney Bridge,Putney Bridge
GRP,Green Park,Green Park
MAR,Marylebone,Marylebone
TBC,Tooting Bec,Tooting Bec
NIE,Nine Elms,Nine Elms
WFN,West Finchley,West Finchley
THA,Tottenham Hale,Tottenham\nHale
TOH,Tower Hill,Tower\nHill
CAT,Canning Town,Canning Town
FAR,Farringdon,Farringdon
LSQ,Leicester Square,Leicester Square
WOP,Woodside Park,Woodside Park
SHB,Shepherd's Bush (Central),Shepherd's\nBush
ELP,Elm Park,Elm Park
LEY,Leyton,Leyton
OVL,Oval,Oval
HRW,Harrow & Wealdstone,Harrow & Wealdstone
CAL1,Chalfont & Latimer,Chalfont & Latimer
BAT,Battersea Power Station,Battersea\nPower Station
RMD,Richmond,Richmond
WAF,Watford,Watford
KIP,Kilburn Park,Kilburn Park
TEM,Temple,Temple
UPB,Upminster Bridge,Upminster Bridge
UPN,Upney,Upney
FIP,Finsbury Park,Finsbury Park
MON,Monument,Monument
STB,Stamford Brook,Stamford\nBrook
CHI,Chigwell,Chigwell
LAR,Latimer Road,Latimer Road
ROO,Royal Oak,Royal Oak
MAA,Marble Arch,Marble Arch
PER,Perivale,Perivale
WEP,Wembley Park,Wembley Park
HIV,Heathrow Terminal 4,Heathrow Terminal 4
WEA,West Acton,West Acton
WOL,Wood Lane,Wood Lane
ZCW,Canada Water,Canada Water
KIC,King's Cross St Pancras,King's Cross\nSt Pancras
BTK,Burnt Oak,Burnt Oak
GAH,Gants Hill,Gants Hill
RUM,Ruislip Manor,Ruislip Manor
ALE,Aldgate East,Aldgate East
ELC,Elephant & Castle,Elephant & Castle
WAS,Warren Street,Warren\nStreet
UPM,Upminster,Upminster
ICK,Ickenham,Ickenham
SWC,Swiss Cottage,Swiss Cottage
WMB1,Wimbledon,Wimbledon
KWG,Kew Gardens,Kew Gardens
HCL,Hendon Central,Hendon Central
GRE,Greenford,Greenford
CHE,Chesham,Chesham
WSH,West Harrow,West\nHarrow
ROV,Roding Valley,Roding\nValley
HBT,High Barnet,High Barnet
AGL,Angel,Angel
WEK,West Kensington,West\nKensington
NOD,Northwood,Northwood
BAS,Baker Street,Baker\nStreet
FAI,Fairlop,Fairlop
EGW,Edgware,Edgware
LNB,London Bridge,London\nBridge
AME,Amersham,Amersham
UPP,Upton Park,Upton Park
KNG,Kennington,Kennington
WOG,Wood Green,Wood Green
DEB,Debden,Debden
SJP,St. James's Park,St. James's\nPark
FYC,Finchley Central,Finchley Central
CND,Colindale,Colindale
EFY,East Finchley,East Finchley
THB,Theydon Bois,Theydon Bois
NOA,North Acton,North Acton
SBM,Shepherd's Bush (Hammersmith),Shepherd's Bush
EMB,Embankment,Embankment
LES,Leytonstone,Leytonstone
CAL,Caledonian Road,Caledonian Road
TFP,Tufnell Park,Tufnell Park
STG,Stepney Green,Stepney Green
SRA,Stratford,Stratford
GRH,Grange Hill,Grange\nHill
HAM,Hammersmith,Hammersmith
RIH,Rickmansworth,Rickmansworth
FIR,Finchley Road,Finchley Road
EAB,Ealing Broadway,Ealing Broadway
STO1,Stockwell,Stockwell
NGW,North Greenwich,North\nGreenwich
CAS,Cannon Street,Cannon Street
WAT,Waterloo,Waterloo
MTC,Mornington Crescent,Mornington\nCrescent
CPS,Clapham South,Clapham South
WIP,Wimbledon Park,Wimbledon Park
MHL,Mill Hill East,Mill Hill East
GGN,Golders Green,Golders Green
EAA,East Acton,East Acton
BAR,Barkingside,Barkingside
QUE,Queensway,Queensway
PAD,Paddington,Paddington
BAN,Bank,Bank
MDN,Morden,Morden
ODS,Old Street,Old Street
GOR,Goldhawk Road,Goldhawk Road
NWB,North Wembley,North Wembley
EAH,East Ham,East Ham
BOR1,Bow Road,Bow Road
MOP,Moor Park,Moor Park
SNA,Snaresbrook,Snaresbrook
BOR,Borough,Borough
NHG,Notting Hill Gate,Notting Hill Gate
BOS,Bond Street,Bond\nStreet
HOP,Holland Park,Holland Park
GLR,Gloucester Road,Gloucester\nRoad
KBY,Kingsbury,Kingsbury
HSK,High Street Kensington,High Street\nKensington
HGT,Highgate,Highgate
EPP,Epping,Epping
TUG,Turnham Green,Turnham\nGreen
SWN,South Wimbledon,South Wimbledon
SPB,Stonebridge Park,Stonebridge Park
BAC,Barons Court,Barons\nCourt
SOU,Southfields,Southfields
WSP,Westbourne Park,Westbourne Park
ESQ,Euston Square,Euston\nSquare
SUH,Sudbury Hill,Sudbury Hill
SOR,South Ruislip,South Ruislip
NDN,Neasden,Neasden
WAA,Warwick Avenue,Warwick\nAvenue
DOH,Dollis Hill,Dollis Hill
TBY,Tooting Broadway,Tooting Broadway
