id,code,name,line
1,ACT,Acton Town,4
2,ALD,Aldgate,8
3,ALE,Aldgate East,6
5,ALP,Alperton,10
6,AME,Amersham,8
7,AGL,Angel,9
8,ACY,Archway,9
9,ASG,Arnos Grove,10
10,ASL,Arsenal,10
11,BAS,Baker Street,8
12,BLM,Balham,9
13,BAN,Bank,2
14,BAB,Barbican,8
15,BKG,Barking,6
16,BAR,Barkingside,2
17,BAC,Barons Court,10
18,BAY,Bayswater,4
21,BEC1,Becontree,4
22,BZP,Belsize Park,9
23,BMY,Bermondsey,7
24,BEG,Bethnal Green,2
25,BLA,Blackfriars,4
26,BHO,Blackhorse Road,11
28,BOS,Bond Street,7
29,BOR,Borough,9
30,BOS1,Boston Manor,10
31,BDS,Bounds Green,10
33,BOR1,Bow Road,6
34,BTX,Brent Cross,9
35,BRI,Brixton,11
36,BBB,Bromley-By-Bow,6
37,BUH,Buckhurst Hill,2
38,BTK,Burnt Oak,9
39,CAL,Caledonian Road,10
40,CTN,Camden Town,9
41,ZCW,Canada Water,7
42,CAW,Canary Wharf,7
43,CAT,Canning Town,7
44,CAS,Cannon Street,4
45,CPK,Canons Park,7
46,CAL1,Chalfont & Latimer,8
47,CFM,Chalk Farm,9
48,CHL,Chancery Lane,2
49,CHC,Charing Cross,9
50,CHE,Chesham,8
51,CHI,Chigwell,2
52,CHP,Chiswick Park,4
53,CHO,Chorleywood,8
54,CPC,Clapham Common,9
55,CPN,Clapham North,9
56,CPS,Clapham South,9
57,CKS,Cockfosters,10
58,CND,Colindale,9
59,CSD,Colliers Wood,9
60,CGN,Covent Garden,10
62,CRO1,Croxley,8
66,DAE,Dagenham East,4
67,DAH,Dagenham Heathway,4
68,DEB,Debden,2
71,DOH,Dollis Hill,7
72,EAB,Ealing Broadway,4
73,ECO,Ealing Common,10
74,EAC,Earl's Court,10
75,EAS,Eastcote,10
76,EAA,East Acton,2
77,EFY,East Finchley,9
78,EAH,East Ham,6
80,EAP,East Putney,4
81,EGW,Edgware,9
82,EDR,Edgware Road,1
83,EDR1,Edgware Road,6
84,ELC,Elephant & Castle,9
85,ELP,Elm Park,4
87,EMB,Embankment,9
88,EPP,Epping,2
89,EUS,Euston,9
90,ESQ,Euston Square,8
91,FAI,Fairlop,2
92,FAR,Farringdon,8
93,FYC,Finchley Central,9
94,FIR,Finchley Road,8
95,FIP,Finsbury Park,10
96,FUB,Fulham Broadway,4
98,GAH,Gants Hill,2
99,GLR,Gloucester Road,10
100,GGN,Golders Green,9
101,GOR,Goldhawk Road,6
102,GDG,Goodge Street,9
103,GRH,Grange Hill,2
104,GPS,Great Portland Street,8
105,GRE,Greenford,2
107,GRP,Green Park,7
108,GUN,Gunnersbury,4
109,HAI,Hainault,2
110,HAM,Hammersmith,10
111,HTD,Hampstead,9
112,HAL,Hanger Lane,2
113,HDN,Harlesden,1
114,HRW,Harrow & Wealdstone,1
115,HOH,Harrow-on-the-Hill,8
116,HNX,Hatton Cross,10
117,HRC,"Heathrow Terminals 1, 2 & 3",10
118,HIV,Heathrow Terminal 4,10
119,HCL,Hendon Central,9
121,HBT,High Barnet,9
122,HSK,High Street Kensington,4
123,HHY,Highbury & Islington,11
124,HGT,Highgate,9
125,HIL,Hillingdon,10
126,HOL,Holborn,10
127,HOP,Holland Park,2
128,HWY,Holloway Road,10
129,HOR,Hornchurch,4
130,HWC,Hounslow Central,10
131,HWE,Hounslow East,10
132,HWW,Hounslow West,10
133,HPC,Hyde Park Corner,10
134,ICK,Ickenham,10
136,KNG,Kennington,9
137,KNL,Kensal Green,1
138,KPA,Kensington (Olympia),4
139,KSH,Kentish Town,9
140,KNT,Kenton,1
141,KWG,Kew Gardens,4
142,KBN,Kilburn,7
143,KIP,Kilburn Park,1
144,KBY,Kingsbury,7
145,KIC,King's Cross St Pancras,11
146,KNB,Knightsbridge,10
147,LAD,Ladbroke Grove,6
148,LAN,Lambeth North,1
149,LAG,Lancaster Gate,2
150,LAR,Latimer Road,6
151,LSQ,Leicester Square,10
153,LEY,Leyton,2
154,LES,Leytonstone,2
156,LIS,Liverpool Street,2
157,LNB,London Bridge,9
158,LOU,Loughton,2
159,MAV,Maida Vale,1
160,MRH,Manor House,10
161,MAH,Mansion House,4
162,MAA,Marble Arch,2
163,MAR,Marylebone,1
164,MIE,Mile End,2
165,MHL,Mill Hill East,9
166,MON,Monument,4
167,MOO,Moorgate,9
168,MOP,Moor Park,8
169,MDN,Morden,9
170,MTC,Mornington Crescent,9
172,NDN,Neasden,7
173,NEP,Newbury Park,2
176,NFD,Northfields,10
177,NOR,Northolt,2
178,NOP,Northwick Park,8
179,NOD,Northwood,8
180,NOH,Northwood Hills,8
181,NOA,North Acton,2
182,NOE,North Ealing,10
183,NGW,North Greenwich,7
184,NHA,North Harrow,8
185,NWB,North Wembley,1
186,NHG,Notting Hill Gate,4
187,OAK,Oakwood,10
188,ODS,Old Street,9
190,OSY,Osterley,10
191,OVL,Oval,9
192,OXC,Oxford Circus,11
193,PAD,Paddington,1
194,PKR,Park Royal,10
195,PAG,Parsons Green,4
196,PER,Perivale,2
197,PIC,Piccadilly Circus,10
198,PIM,Pimlico,11
199,PIN,Pinner,8
200,PLA,Plaistow,6
202,PRR,Preston Road,8
205,PUB,Putney Bridge,4
206,QPW,Queen's Park,1
207,QBY,Queensbury,7
208,QUE,Queensway,2
209,RAP,Ravenscourt Park,4
210,RAL,Rayners Lane,10
211,REB,Redbridge,2
212,REP,Regent's Park,1
213,RMD,Richmond,4
214,RIH,Rickmansworth,8
215,ROV,Roding Valley,2
218,ROO,Royal Oak,6
220,RUI,Ruislip,10
221,RUG,Ruislip Gardens,2
222,RUM,Ruislip Manor,10
223,RSQ,Russell Square,10
224,SES,Seven Sisters,11
226,SHB,Shepherd's Bush,2
227,SBM,Shepherd's Bush,6
229,SLS,Sloane Square,4
230,SNA,Snaresbrook,2
231,SOU,Southfields,4
232,SGT,Southgate,10
233,SWK,Southwark,7
234,SOE,South Ealing,10
235,SHH,South Harrow,10
236,SOK,South Kensington,10
237,SOK1,South Kenton,1
239,SOR,South Ruislip,2
240,SWN,South Wimbledon,9
241,SOW,South Woodford,2
242,STB,Stamford Brook,4
243,STM,Stanmore,7
244,STG,Stepney Green,6
245,STO1,Stockwell,11
246,SPB,Stonebridge Park,1
247,SRA,Stratford,2
248,SJP,St. James's Park,4
249,SJW,St. John's Wood,7
250,STP,St. Paul's,2
251,SUH,Sudbury Hill,10
252,SUT,Sudbury Town,10
254,SWC,Swiss Cottage,7
255,TEM,Temple,4
256,THB,Theydon Bois,2
257,TBC,Tooting Bec,9
259,TCR,Tottenham Court Road,9
258,TBY,Tooting Broadway,9
260,THA,Tottenham Hale,11
261,TOT,Totteridge & Whetstone,9
263,TOH,Tower Hill,4
264,TFP,Tufnell Park,9
265,TUG,Turnham Green,10
266,TPN,Turnpike Lane,10
267,UPM,Upminster,4
268,UPB,Upminster Bridge,4
269,UPN,Upney,4
270,UPP,Upton Park,6
271,UXB,Uxbridge,10
272,VAU,Vauxhall,11
273,VIC,Victoria,11
274,WAC,Walthamstow Central,11
275,WAN,Wanstead,2
277,WAS,Warren Street,11
278,WAA,Warkwick Avenue,1
279,WAT,Waterloo,12
280,WAF,Watford,8
281,WMB,Wembley Central,1
282,WEP,Wembley Park,8
283,WSP,Westbourne Park,6
285,WES1,Westminster,7
286,WEA,West Acton,2
287,WBP,West Brompton,4
288,WFN,West Finchley,9
289,WEH,West Ham,7
290,WHD,West Hampstead,7
291,WSH,West Harrow,8
293,WEK,West Kensington,4
294,WER,West Ruislip,2
295,ZWL,Whitechapel,6
296,WHC,White City,2
297,WIG,Willesden Green,7
298,WIJ,Willesden Junction,1
299,WMB1,Wimbledon,4
300,WIP,Wimbledon Park,4
301,WOO,Woodford,2
302,WOP,Woodside Park,9
303,WOG,Wood Green,10
304,HRV,Heathrow Terminal 5,10
305,NIE,Nine Elms,9
306,BAT,Battersea Power Station,9
307,WOL,Wood Lane,6
